Date,BTC_Price_USD
2010-03-31,0.05
2010-06-30,0.08
2010-09-30,0.1
2010-12-31,0.12
2011-03-31,0.3
2011-06-30,0.92
2011-09-30,20.0
2011-12-31,5.2
2012-03-31,4.6
2012-06-30,5.1
2012-09-30,7.4
2012-12-31,12.5
2013-03-31,13.5
2013-06-30,93.0
2013-09-30,100.0
2013-12-31,141.0
2014-03-31,900.0
2014-06-30,458.33
2014-09-30,640.0
2014-12-31,386.0
2015-03-31,320.0
2015-06-30,244.2239990234375
2015-09-30,263.0719909667969
2015-12-31,236.05999755859375
2016-03-31,430.5669860839844
2016-06-30,416.72900390625
2016-09-30,673.3369750976562
2016-12-31,609.7349853515625
2017-03-31,963.7429809570312
2017-06-30,1071.7900390625
2017-09-30,2480.840087890625
2017-12-31,4338.7099609375
2018-03-31,14156.400390625
2018-06-30,6973.52978515625
2018-09-30,6404.0
2018-12-31,6625.56005859375
2019-03-31,3742.700439453125
2019-06-30,4105.404296875
2019-09-30,10817.1552734375
2019-12-31,8293.8681640625
2020-03-31,7193.59912109375
2020-06-30,6438.64453125
2020-09-30,9137.9931640625
2020-12-31,10784.4912109375
2021-03-31,29001.720703125
2021-06-30,58918.83203125
2021-09-30,35040.8359375
2021-12-31,43790.89453125
2022-03-31,46306.4453125
2022-06-30,45538.67578125
2022-09-30,19784.7265625
2022-12-31,19431.7890625
2023-03-31,16547.49609375
2023-06-30,28478.484375
2023-09-30,30477.251953125
2023-12-31,26967.916015625
2024-03-31,42265.1875
2024-06-30,71333.6484375
2024-09-30,62678.29296875
2024-12-31,63329.5
2025-03-31,93429.203125
2025-06-30,82548.9140625
2025-09-30,84882.671875
